project,avg_price,avg_size_sqm,avg_price_per_sqm
,1114133.2,82.93333333333334,14109.972289597377
Azizi Developments,908250.0,55.25,16675.09520609319
Binghatti Developers,850000.0,49.5,17956.349206349205
Emaar,7033333.333333333,151.33333333333334,43176.12184020234
Imtiaz Developments,2007000.0,94.0,21351.063829787236
Karma Developers,1059000.0,81.0,13074.074074074075
Meraas,5000000.0,129.0,38759.68992248062
