property_id,price,predicted_price,size_sqm,location,project,cluster_label,timestamp
8125293,1200000,887834.7945267675,83,UAE,,Low-Value,2025-05-18 14:39:15
8157859,1800000,1846019.437004974,99,UAE,Aldar,Low-Value,2025-05-18 14:39:15
7929665,900000,822193.6626040479,129,UAE,,Low-Value,2025-05-18 14:39:15
8102890,2550000,2964050.3951319754,165,UAE,,Low-Value,2025-05-18 14:39:15
8103496,1850000,1906530.9405619465,121,UAE,,Low-Value,2025-05-18 14:39:15
8085221,1500000,1767413.923915675,66,UAE,Aldar,Low-Value,2025-05-18 14:39:15
8020053,1900000,2125547.0246952074,144,UAE,,Low-Value,2025-05-18 14:39:23
8398399,950000,444701.2723654676,88,UAE,,Low-Value,2025-05-18 14:39:23
8372598,1450000,1464600.1620429186,128,UAE,,Low-Value,2025-05-18 14:39:23
8366825,1299990,1182372.9195256513,118,UAE,,Low-Value,2025-05-18 14:39:23
8362757,1590000,1649645.8674420258,130,UAE,,Low-Value,2025-05-18 14:39:23
8366415,1800000,1831828.3439186625,114,UAE,Aldar,Low-Value,2025-05-18 14:39:23
8389731,900000,325404.87892260775,74,UAE,,Low-Value,2025-05-18 14:39:23
8318478,1899900,2261732.2931477455,79,UAE,,Low-Value,2025-05-18 14:39:23
8334022,1600000,1536879.8163080048,99,UAE,Aldar,Low-Value,2025-05-18 14:39:23
8286001,1300000,1350976.097738754,64,UAE,Aldar,Low-Value,2025-05-18 14:39:23
8283723,1000000,1147010.5937098898,46,UAE,Aldar,Low-Value,2025-05-18 14:39:23
8311972,780000,901325.0233611469,36,UAE,Aldar,Low-Value,2025-05-18 14:39:23
8208324,5500000,6044091.35990575,139,UAE,,Mid-Value,2025-05-18 14:39:23
8259397,900000,844452.1429456803,45,UAE,,Low-Value,2025-05-18 14:39:23
8292131,865000,368470.06903782766,97,UAE,,Low-Value,2025-05-18 14:39:23
8272891,1200000,1176528.0791008873,124,UAE,DAMAC Properties,Low-Value,2025-05-18 14:39:31
8178311,760000,305321.7246816596,47,UAE,,Low-Value,2025-05-18 14:39:31
8187477,2100000,2267531.1116303876,131,UAE,Aldar,Low-Value,2025-05-18 14:39:31
8125566,750000,272763.40292740427,47,UAE,,Low-Value,2025-05-18 14:39:31
8132523,790000,99017.57596396841,69,UAE,,Low-Value,2025-05-18 14:39:31
8042639,1250000,1187777.1351088574,66,UAE,Aldar,Low-Value,2025-05-18 14:39:31
8012556,9000000,9284043.342314757,154,UAE,,Mid-Value,2025-05-18 14:39:31
7946824,1550000,1464698.8011058578,92,UAE,,Low-Value,2025-05-18 14:39:31
7953523,1300000,1326615.7493184786,65,UAE,Aldar,Low-Value,2025-05-18 14:39:31
7981571,2950000,3255536.0400742106,133,UAE,Aldar,Low-Value,2025-05-18 14:39:31
7979716,950000,571716.8483495428,60,UAE,Aldar,Low-Value,2025-05-18 14:39:31
7821388,3250000,3598681.4145859247,162,UAE,,Low-Value,2025-05-18 14:39:31
7617335,1999999,2150717.644083729,131,UAE,Aldar,Low-Value,2025-05-18 14:39:31
7643129,1250000,990001.8313294314,81,UAE,,Low-Value,2025-05-18 14:39:31
